...1,Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
32,2019-02-11,14.4,27.5,0,6.2,10.9,NNW,39,15:59:00,18.7,68,1,NA,Calm,1005.1,26,44,6,SSW,7,999.8
89,2019-04-19,8.6,22.1,0,4.8,9.6,SSE,17,02:48:00,12.7,68,1,NE,9,1027.8,20.1,51,1,SSW,9,1024.2
175,2018-07-25,8.3,15.7,6.2,4.4,7.5,NW,33,11:52:00,10.6,69,3,N,15,1016.1,14.5,47,6,W,9,1015.3
274,2018-11-27,14.4,20,0.2,4.8,4.2,S,35,13:31:00,16.6,70,7,ESE,9,1007.1,19.3,73,7,SSW,19,1004.9
177,2018-07-27,9.2,19.5,0,2.6,8.5,NNW,31,10:32:00,11.6,69,4,N,15,1014.1,19,45,1,NNW,13,1011.4
147,2019-06-25,3.5,17,0,2.8,8,N,28,13:56:00,5.3,77,6,NNE,11,1034.8,16.9,46,1,NNE,13,1032.6
257,2018-11-7,11.1,17.2,35.8,7.2,9.8,SSW,44,14:02:00,13.4,55,1,WSW,11,1009.9,13.9,58,7,SSW,19,1010.5
67,2019-03-26,12.3,20.3,0,8.8,10.2,S,33,11:08:00,13.5,56,1,NW,15,1018.2,19.2,43,3,S,13,1020.2
205,2018-08-31,8.9,16,1.6,3.2,1.2,N,56,03:20:00,12.3,65,8,N,15,999.8,14.1,67,7,N,6,997.7
234,2018-10-10,10.1,16.5,NA,4.4,11.6,ESE,50,17:36:00,12,61,1,SE,17,1023.1,15.4,43,6,ESE,20,1021.9
54,2019-03-8,11.3,26.8,0,7.6,1.4,NNE,31,12:10:00,15.7,43,7,NE,9,1018,26.4,23,8,NW,7,1016
124,2019-05-29,8.7,10.6,1.2,3.8,6.8,NW,50,10:09:00,8.9,62,3,WNW,13,1002.9,9.6,63,3,W,15,1005.5
25,2019-02-2,15,34.4,0,8,12.9,NW,39,12:30:00,19.2,66,1,NE,4,1015.6,33.4,37,2,SSE,7,1010.1
37,2019-02-16,16.1,23.2,0,5.4,8.9,SSW,31,13:20:00,18.7,77,8,SW,6,1019.2,21.9,70,3,S,15,1016.1
219,2018-09-21,8.3,18.9,0,3.4,7.6,SSW,31,13:03:00,13,67,7,NNW,9,1027.3,17.6,46,3,S,9,1025.1
95,2019-04-25,10.2,21.5,0,1.2,9.8,NNW,24,12:21:00,14,75,4,N,9,1022.4,21,41,1,WSW,7,1017.6
48,2019-02-28,16.3,36.8,0,8.4,10.1,N,46,09:23:00,24.5,50,1,NNE,9,1018.8,35.3,26,1,N,19,1016.8
168,2018-07-18,6.2,15.2,1.2,4,9.1,N,57,14:32:00,8.8,77,1,NNE,11,1015.4,14.7,49,6,NNW,22,1012.5
110,2019-05-13,12.7,18.1,0,1.8,7.4,N,46,15:42:00,14.5,74,2,N,13,1027.8,17.4,50,6,N,19,1024.5
152,2018-07-1,3.5,14.7,0.4,2,8.3,NNW,19,00:57:00,5.7,84,5,NNE,9,1032.5,12.4,63,7,SSW,6,1031.2
63,2019-03-19,16.9,23.4,0,6.6,0.9,SSW,35,15:44:00,19.3,86,7,NA,Calm,1016.2,22.9,77,7,SSW,13,1014.7
132,2019-06-7,11.7,16.6,0,1.2,6.5,N,22,13:58:00,12.3,74,7,NA,Calm,1036.6,15.9,62,1,SW,4,1032.8
216,2018-09-14,10.9,22.7,0,4.8,10.2,NNW,46,09:41:00,15.7,45,0,N,22,1015.9,22.5,32,2,NNW,20,1009.8
282,2018-12-6,14.5,35.5,0,7.8,12.8,NNW,43,11:47:00,25.1,47,5,N,26,1017.3,33.8,30,1,N,20,1013.4
273,2018-11-26,11.9,18.6,0,4.8,9.4,SSW,30,13:41:00,15.3,79,7,S,11,1009.6,17.8,63,3,S,15,1007.7
40,2019-02-19,13.7,20.2,0,5.4,9.6,SSW,33,13:56:00,17,59,2,SW,9,1012,18.7,60,7,S,19,1012.8
62,2019-03-17,14.2,25.6,0,5,9,SSW,24,15:59:00,18.4,91,8,W,4,1019.4,24.7,62,1,SSW,11,1016.4
120,2019-05-24,13.8,20.2,0,8,2,N,50,15:58:00,16.1,47,7,NNW,22,1019.7,19.3,50,5,N,22,1014
71,2019-03-30,9.1,15.6,1.8,9,2.8,WNW,39,13:39:00,9.5,80,7,W,15,1009.9,14.5,50,3,SW,15,1009.9
221,2018-09-25,8.6,13.6,0,4.6,4.7,S,35,16:00:00,11.3,68,7,SSE,9,1029.2,12.6,59,7,SSW,17,1026.5
66,2019-03-25,14.8,19,0.2,12,8.9,W,50,07:54:00,15,53,5,WNW,17,1005.5,15.8,44,3,W,17,1009.3
58,2019-03-13,11.9,18.6,0,7.2,3.7,SSW,28,14:17:00,13.4,71,7,WSW,9,1018.9,17.7,48,7,S,15,1018.3
204,2018-08-28,1.9,11.2,0.2,3,9.5,SW,26,15:19:00,6.3,81,1,NE,6,1025.8,10,64,7,SSW,13,1022.6
162,2018-07-12,4.3,11.3,0,0.2,4.5,WSW,17,10:28:00,7.7,82,7,NA,Calm,1023.3,10.8,76,7,S,7,1020.7
30,2019-02-9,14.6,19.7,0,6.8,7.6,SSW,46,13:57:00,16.7,55,7,NNW,15,999.4,18.7,45,7,SSW,20,1003
163,2018-07-13,5.8,13.9,0.2,0.8,5.9,SW,20,13:18:00,7.2,100,3,NNE,6,1022.8,13.1,63,5,SW,9,1021.4
186,2018-08-7,7.3,14.8,0,2,5.7,NW,46,14:33:00,9.7,63,5,NNW,13,1007,13.9,45,7,NW,15,1007.8
85,2019-04-14,11.8,22.5,0,2.8,7.9,S,17,16:00:00,14.9,87,7,NE,4,1025.2,21.6,50,3,SSW,7,1020.8
223,2018-09-28,10.7,15.2,0,5.6,2.9,S,44,12:38:00,13.1,66,7,NW,11,1015.7,12.6,73,7,SSW,13,1015.5
134,2019-06-10,12,19.2,3,2.4,6.9,N,57,04:04:00,15.6,73,7,N,17,1011.2,17.6,45,5,WNW,13,1012.8
114,2019-05-17,6.5,18.6,0,1.4,9.5,NNW,22,11:55:00,9.1,84,1,NE,11,1028.4,16.6,58,1,SSW,7,1026.2
82,2019-04-11,11.3,17.3,0,2.6,11.4,S,28,15:51:00,14.1,61,5,NNE,6,1027.7,16.3,55,7,SSW,13,1025.4
150,2019-06-28,10.7,19.5,0,4,8.2,N,41,12:29:00,13,65,1,N,13,1027.6,19.1,50,4,N,19,1022.1
139,2019-06-16,8.6,16.7,0,0.8,5.4,NNE,20,00:33:00,10.4,86,7,NE,7,1023.2,14.3,67,6,WSW,9,1021.5
262,2018-11-13,16.9,30.5,0,11.8,2.6,N,50,15:36:00,22.3,50,7,NNW,2,1011.1,30.3,29,7,N,28,1007.4
213,2018-09-9,8.6,18.1,0,3,3.4,NW,39,12:29:00,14.4,57,7,NW,13,1019,16.9,60,7,W,13,1019
217,2018-09-15,10.2,13.7,0.2,8.2,4.8,WNW,50,08:23:00,10.2,77,8,W,24,1003.1,11.2,52,5,WSW,17,1008.6
83,2019-04-12,6.7,24.9,0.2,4,10.8,N,33,14:36:00,11.5,75,0,NNE,7,1024.9,24.3,27,0,N,15,1020.2
64,2019-03-20,19.3,23.4,0,2.8,2.6,SSW,28,16:10:00,20,96,7,NA,Calm,1015.4,22.2,74,7,SSW,13,1014.6
22,2019-01-30,18,38.1,0,12,9,N,54,15:51:00,21.3,68,2,NNE,9,1008.6,35.6,25,6,W,7,1001.5
300,2018-12-31,17.3,23.5,0.8,3.2,11.8,SSW,35,17:06:00,19.1,66,5,SE,6,1013.2,21.9,64,1,SW,11,1010.1
166,2018-07-16,7.9,12.6,0,5,3.6,N,46,12:22:00,10.1,55,7,N,13,1008.3,12.3,55,7,N,17,1006.6
100,2019-05-3,11.8,20.7,0.2,2.6,10,NNW,30,13:46:00,15.4,75,1,NNW,11,1017,19.4,39,5,NW,13,1014
170,2018-07-20,7.2,12.1,4.4,0,5.4,W,43,13:11:00,8.8,66,1,NW,11,1008.9,11.2,66,4,WNW,17,1010.4
13,2019-01-18,22.3,28.7,0.2,7.8,2,SSW,33,21:11:00,27.1,50,7,NNW,11,1008.2,22.1,89,7,SSW,13,1008.8
57,2019-03-12,15.8,19.2,0,4.2,3.1,WSW,39,09:17:00,17.5,59,7,WNW,11,1009.4,17,54,7,SSW,13,1013.2
26,2019-02-4,20,22.7,0,14,0.3,SSW,39,15:11:00,20.4,72,7,S,11,1014.5,21.3,71,7,SSW,17,1015.7
27,2019-02-6,18.5,34.7,0,2,8.7,SW,41,18:23:00,22.3,75,5,N,7,1014.1,33.5,37,6,SSE,9,1009.2
20,2019-01-27,18.4,27.8,0,9,8.8,S,30,17:04:00,18.6,59,7,W,9,1011.3,25.8,34,7,SSW,7,1010.8
239,2018-10-16,20,23.1,0.2,12.4,0.2,NNE,54,05:09:00,21,61,7,NNE,15,1013.2,22.2,60,7,N,15,1012.2
172,2018-07-22,8,14.8,0,2.2,9.2,N,41,13:16:00,9,66,1,N,17,1023.1,14.1,43,1,N,20,1018.4
244,2018-10-21,7.6,19.2,5.6,5.4,8.6,WNW,20,09:00:00,12.8,76,7,WSW,9,1020.4,17.9,42,5,S,13,1018.3
182,2018-08-2,4.9,16.1,0,1.4,9.1,NNE,44,12:25:00,7.8,79,2,NNE,9,1022.1,15.7,46,1,N,20,1016.1
94,2019-04-24,14.6,23.2,0,2.4,2.3,S,31,16:10:00,16,81,8,NA,Calm,1025,20.7,63,5,SSW,13,1020.8
44,2019-02-23,16.4,25.8,0,8,10.5,ESE,37,19:23:00,17.5,65,7,SSE,9,1025.9,21.2,64,0,SSW,19,1024.1
55,2019-03-9,13.9,24.7,0,7,9.6,SSW,28,16:24:00,16,62,3,NE,6,1018.6,23.3,44,1,SSW,15,1016.7
203,2018-08-26,4.9,14.7,0,2,8.8,WSW,33,15:09:00,7.7,87,1,NA,Calm,1018.6,13.8,56,7,SW,11,1017.4
51,2019-03-5,18,24.3,0,6,8.6,SSE,28,17:17:00,20.4,72,7,SSW,4,1013.2,21.6,66,7,S,15,1008.2
241,2018-10-18,14.7,20.7,2,6.2,3.4,NNW,39,09:01:00,15.7,82,6,N,15,1013.9,19.7,54,7,NW,17,1013.3
201,2018-08-24,4.8,15.4,0,1.5,10.5,SSW,20,14:46:00,8.5,77,1,NE,7,1025,14.2,54,1,SSW,13,1023.1
140,2019-06-17,6.3,17.9,3.4,1,8.8,N,26,15:45:00,8,91,3,NNE,11,1023.8,16.9,54,1,N,13,1020.3
258,2018-11-8,7.7,17,3,3.4,8.2,SSW,28,16:02:00,12,61,1,WSW,11,1019.8,15.9,45,7,S,9,1019.2
122,2019-05-27,7.8,14,8.2,4.8,5.4,WNW,46,03:44:00,8.7,67,7,WNW,13,1008.2,13.1,60,3,WSW,15,1009.7
292,2018-12-19,16.8,26.9,0,3.6,5,WSW,19,13:34:00,19.2,79,7,NA,Calm,1012.8,24.6,60,7,SSW,11,1009.9
156,2018-07-5,12.7,18.7,0.4,NA,4.2,N,56,15:44:00,14.3,55,7,N,17,1016.2,17.8,46,6,N,28,1007.8
294,2018-12-23,11.5,26.9,0,4,13.9,SSW,28,17:44:00,16.2,64,1,NNE,2,1021.9,24.4,44,1,SSW,9,1019.1
81,2019-04-10,10.7,15.8,1.4,3.6,0.5,SW,22,03:16:00,11.9,76,7,W,6,1027.4,15.5,54,7,SSW,11,1026.4
144,2019-06-21,6.5,12.6,3,0.2,6.5,SSW,31,14:21:00,7.7,90,5,WSW,7,1029.2,12.2,71,3,SSW,11,1029
91,2019-04-21,14.8,27,0,9.4,0.5,N,35,11:10:00,22.3,48,7,NNW,9,1017.9,26.8,39,7,N,15,1015.9
202,2018-08-25,3.9,15.2,0,3,10.5,SSW,20,14:26:00,8,74,0,NE,6,1022.8,14.2,54,1,SSW,13,1018.3
136,2019-06-13,8.8,17.4,2.6,1.4,8,NNW,35,11:50:00,11.5,72,3,NNW,17,1015.9,16.6,50,1,N,22,1014.3
237,2018-10-14,12.4,27.3,0,8.4,10.4,NNE,43,10:41:00,20.3,47,3,NNE,20,1020.9,26.6,34,7,N,20,1017.5
154,2018-07-3,4.1,14.3,0,NA,3.1,NNW,52,11:13:00,10.4,69,7,N,20,1026,13.4,63,6,N,24,1023.8
210,2018-09-6,13.8,20.6,0,6.4,5.9,NNE,54,13:34:00,15.8,56,6,NNE,22,1011.6,19.1,54,7,N,24,1006.2
290,2018-12-17,15.6,21.8,2,4,4.5,SSW,31,14:15:00,18.9,80,7,SW,9,1011.7,20.6,75,7,SSE,17,1012.7
84,2019-04-13,10.5,20.7,0,6,3.4,SSW,20,14:07:00,12.8,65,7,NNE,6,1025.6,19.7,54,7,SSW,9,1023.8
266,2018-11-18,9.8,26.6,0,7,12.8,SSW,30,15:36:00,15.6,71,1,E,4,1022.8,24.3,48,1,SSW,9,1018.5
80,2019-04-9,11.1,16.3,1.6,6,7.8,SSW,37,18:11:00,12.9,58,1,W,13,1018.1,14.6,53,7,SSW,15,1020.3
293,2018-12-21,15.4,20.9,1,4.8,2.8,S,44,16:46:00,17.8,86,7,SE,7,1010.2,19.6,77,7,S,13,1008.6
7,2019-01-10,13.5,21.4,0,8.2,11.2,SSW,31,14:21:00,16.9,53,7,SSW,6,1020.1,20.6,50,5,SSW,17,1018.1
107,2019-05-10,10.2,14.2,7.2,3.8,0.3,S,50,17:04:00,11.8,100,7,NA,Calm,1011.8,13.8,77,7,S,22,1014.5
261,2018-11-12,10.9,30.2,0,6.6,4.6,NNW,30,11:44:00,17.1,69,7,NE,7,1018.6,28.8,24,6,N,13,1015.4
155,2018-07-4,10.4,17.1,0,NA,2.9,N,57,13:28:00,13.7,59,7,N,24,1021.3,16.2,49,5,N,28,1018
238,2018-10-15,19.5,27.5,0,10.4,5.2,NNE,46,12:16:00,21.4,45,7,NNE,22,1018.2,26.8,36,7,N,24,1014.1
78,2019-04-7,9.5,26.5,0,6.4,9.9,NNW,48,15:14:00,16.5,65,0,NNE,9,1017.6,26.1,30,2,NNW,19,1011.6
9,2019-01-14,18.7,32.3,0,9.6,13.2,SSW,31,15:40:00,22.8,72,0,SW,4,1013.2,28.8,57,0,SSW,11,1009
87,2019-04-17,22.1,30,0,15,6.6,N,50,10:41:00,25.8,32,7,N,20,1018.3,29.3,27,7,N,26,1016.3
242,2018-10-19,12.8,27.4,0,3.6,9,N,46,08:54:00,17.8,64,6,NNW,20,1015,26.5,31,7,N,22,1009.8
285,2018-12-9,16,20.1,1.2,4.8,0.2,S,26,23:32:00,16.9,82,8,SSE,6,1018.6,19.2,71,8,SSW,9,1016.7
73,2019-04-1,13,17.1,0.2,1.6,2.8,WSW,17,23:33:00,13.4,78,7,NNE,6,1025.5,16.9,57,7,SSW,7,1025.2
34,2019-02-13,11.8,19.2,2.8,6.2,11.3,S,39,10:54:00,13.7,56,1,W,15,1010.2,17.4,47,6,S,15,1013.1
179,2018-07-30,8.2,12.6,0.4,3.2,0.7,N,57,23:59:00,10.1,69,7,NNW,11,1016.2,11.7,56,7,N,20,1013.8
230,2018-10-5,9.1,20.5,0,3,11.7,SE,31,13:55:00,14.2,62,1,SSE,13,1025.9,20.1,40,1,SE,13,1022.7
164,2018-07-14,4.4,15.5,0,1.2,9.5,N,26,15:18:00,6,86,1,NE,9,1022.2,14.8,43,1,N,13,1017.6
249,2018-10-28,9.3,15.9,0,5.8,9.4,SSW,35,16:16:00,11.7,55,7,SSW,9,1020.4,15.5,50,1,SSW,11,1018.5
279,2018-12-2,12.2,19.5,10.4,14.6,7.8,WNW,70,02:28:00,15.4,62,5,WSW,13,1004.3,18.5,43,6,SSW,11,1005.8
