...1,Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
264,2018-11-16,8.3,19,0,6.6,13.2,SSW,37,16:15:00,13.7,68,6,WSW,7,1021.5,17.6,56,1,SSW,13,1020.3
116,2019-05-20,12,19.6,0.4,5.4,3.9,N,52,13:35:00,17.8,60,7,N,17,1021.4,18.6,64,3,NNW,19,1018.6
52,2019-03-6,13.2,17.2,1.6,6.4,9.5,W,54,12:46:00,13.8,66,3,WNW,13,1014.1,15.9,53,5,SSW,13,1017.4
28,2019-02-7,20.7,28.3,11,5.4,7.9,S,28,11:32:00,23.7,76,5,NNW,11,1011.6,27.5,58,3,S,9,1009.3
296,2018-12-27,16.2,37.4,0,NA,12.6,SSW,31,18:45:00,23,62,7,NNE,9,1009.4,32.9,33,7,SSW,9,1004.7
145,2019-06-23,3.6,9.6,1.2,0.8,9.2,NE,13,04:30:00,5.8,100,1,N,6,1032.3,9,84,2,ESE,7,1031.1
272,2018-11-25,12.7,18.8,0.8,2.4,5.6,SSW,33,15:49:00,13.6,84,7,WSW,7,1007.3,18.5,63,7,S,15,1006.5
254,2018-11-3,12.6,20.9,0.2,11.2,10.4,WSW,46,23:38:00,15,52,7,NW,13,1016.6,20,37,5,W,13,1016.1
121,2019-05-26,9.5,15.1,6.6,4.6,6.5,WSW,50,21:02:00,11.2,64,1,N,11,1014.5,14.5,54,7,NNW,22,1009.9
105,2019-05-8,10.3,17.4,5.2,4.8,5.3,W,35,11:49:00,13,75,6,WNW,11,1011.3,15.6,61,6,W,11,1013.8
123,2019-05-28,8.2,15.7,0.2,2.2,0.2,NW,44,21:11:00,9.7,76,7,N,19,1010.3,14.9,61,7,N,9,1004.8
214,2018-09-11,9.1,24.2,0,3,10.7,N,61,15:14:00,16.8,64,0,N,19,1017,23.1,39,2,N,33,1008.2
36,2019-02-15,14.8,22.8,0,5.8,6.5,S,31,13:21:00,18.6,68,7,SSE,7,1024,21.1,66,6,SSW,17,1022.2
281,2018-12-5,13.4,25.2,0,5.4,13.8,SSW,30,14:44:00,17.1,63,7,S,7,1021.3,22.2,62,2,SSW,13,1018.9
180,2018-07-31,8.3,16.2,0,3.2,8,N,57,01:17:00,10.6,66,1,N,15,1011.9,15.2,51,2,NNW,24,1008.4
224,2018-09-29,5.5,14,1.2,3,5.1,W,28,09:35:00,10.3,60,6,SW,9,1025.9,12.8,51,7,S,11,1026.3
35,2019-02-14,12.3,23.2,0,6,12.4,S,26,11:34:00,14.9,61,7,NW,9,1020.2,21,45,1,S,9,1019.8
250,2018-10-29,9.1,17,0,6.2,10.3,SSW,33,12:09:00,12.7,54,7,S,13,1020.6,15.7,56,0,SSW,17,1017.4
79,2019-04-8,12.5,23.1,0,6.5,5.7,NNW,48,14:07:00,17.2,60,7,N,9,1014.1,22.5,40,4,NNW,15,1010.6
